0, GPU-5ac72a7f-34e0-eb7b-7f73-dacc3be41a8a, 00000000:18:00.0
1, GPU-80937958-8314-65ac-06c6-144297776d32, 00000000:2A:00.0
2, GPU-069d6800-f4ba-bc98-5516-d05634b05f20, 00000000:3A:00.0
3, GPU-48596602-5b1a-83ad-f48e-4d160b4d85c6, 00000000:5D:00.0
4, GPU-1d38ab59-56d8-de45-aaef-30adbc817783, 00000000:9A:00.0
5, GPU-8060fc64-6a4d-9edd-8c0e-a1456b763037, 00000000:AB:00.0
6, GPU-5e4de968-5466-6b0c-e074-2110db635b87, 00000000:DB:00.0
